"AreaLabel"	"data-version"	"PM-filename"
"Area-Fo7"	2.1	"Area-Fo7_l_N10_nlin2MNI152ASYM2009C_2.1_publicDOI_964a532cb5853aa4d2c7a059559902cc.nii.gz"
"Area-Fo7"	2.1	"Area-Fo7_r_N10_nlin2MNI152ASYM2009C_2.1_publicDOI_233826baa502af5501d24aa815fa91ee.nii.gz"
"Area-OP1"	9.4	"Area-OP1_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_09f37b8616fa6fa74f59826ece9ba380.nii.gz"
"Area-OP1"	9.4	"Area-OP1_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_8b2c48b662c5e6df1958feb0fc6976c3.nii.gz"
"Area-OP2"	9.4	"Area-OP2_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_8eb1862721707ee0a0d09c3492b947ca.nii.gz"
"Area-OP2"	9.4	"Area-OP2_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_9ab95451711065d019b3a27312213d18.nii.gz"
"Area-OP3"	9.4	"Area-OP3_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_4ce38061bc18f309b8195c6dcf1ef1be.nii.gz"
"Area-OP3"	9.4	"Area-OP3_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_56be809cb09e6ec59bf5331f228a2ae1.nii.gz"
"Area-OP4"	9.4	"Area-OP4_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_0a5b380ef43ab7bc87198206a1a02353.nii.gz"
"Area-OP4"	9.4	"Area-OP4_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_748101beb3152bc7f2991094971c1f3a.nii.gz"
"Area-OP8"	5.1	"Area-OP8_l_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_cac2827254edba301e8dc491d78df49a.nii.gz"
"Area-OP8"	5.1	"Area-OP8_r_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_3ca7868161d7378b7b3493e7b9eab16d.nii.gz"
"Area-OP9"	5.1	"Area-OP9_l_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_45982890da26f7e740fc6bc2e9325ff3.nii.gz"
"Area-OP9"	5.1	"Area-OP9_r_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_1ec9370a2dc7b55a2a26d86da01d88e5.nii.gz"
"Area-hIP4"	7.1	"Area-hIP4_l_N10_nlin2MNI152ASYM2009C_7.1_publicP_95a503dc474773d76ea6bc295bb14cb1.nii.gz"
"Area-hIP4"	7.1	"Area-hIP4_r_N10_nlin2MNI152ASYM2009C_7.1_publicP_0c36e58e56b65c803270b83dc677c35e.nii.gz"
"Area-hIP5"	7.1	"Area-hIP5_l_N10_nlin2MNI152ASYM2009C_7.1_publicP_76c140b3be6a72b8c969ee82d3427019.nii.gz"
"Area-hIP5"	7.1	"Area-hIP5_r_N10_nlin2MNI152ASYM2009C_7.1_publicP_dd7a3a18d34fa1294a1c0691a9540d9a.nii.gz"
"Area-hIP6"	7.1	"Area-hIP6_l_N10_nlin2MNI152ASYM2009C_7.1_publicP_1032d08a95d8735b03b41de55118631a.nii.gz"
"Area-hIP6"	7.1	"Area-hIP6_r_N10_nlin2MNI152ASYM2009C_7.1_publicP_c339fe027afa1f985af1f062b0a03014.nii.gz"
"Area-hIP7"	7.1	"Area-hIP7_l_N10_nlin2MNI152ASYM2009C_7.1_publicP_01279b11f7257b593960584b6e3a567a.nii.gz"
"Area-hIP7"	7.1	"Area-hIP7_r_N10_nlin2MNI152ASYM2009C_7.1_publicP_77a72d8d813cf367572aa6841e360f00.nii.gz"
"Area-hIP8"	7.1	"Area-hIP8_l_N10_nlin2MNI152ASYM2009C_7.1_publicP_a759b709141aecb734964c73df1cce45.nii.gz"
"Area-hIP8"	7.1	"Area-hIP8_r_N10_nlin2MNI152ASYM2009C_7.1_publicP_57d552da2aaefda7bb6c70e40ca43aab.nii.gz"
