areaname;pmapversion;colin27_l;colin27_r;icbm152asym2009c_l;icbm152asym2009c_r;JulichBrain157Atlas;JulichBrain175Atlas;fsaverage
Area-hOc3d;4.2;Area-hOc3d_pmap_l_N10_nlin2Stdcolin27_4.2_public_42f1cc9d91ba4cbd8e720fd3d89dc8df.nii.gz;Area-hOc3d_pmap_r_N10_nlin2Stdcolin27_4.2_public_70704b6acaecc356d409dad02c673e7e.nii.gz;Area-hOc3d_pmap_l_N10_nlin2ICBM152asym2009c_4.2_public_eba6ead05372683a912289f85d532198.nii.gz;Area-hOc3d_pmap_r_N10_nlin2ICBM152asym2009c_4.2_public_f05f13baa1f245402cf98bbc910d8994.nii.gz;1;1;1
Area-hOc3v;5.2;Area-hOc3v_pmap_l_N10_nlin2Stdcolin27_5.2_public_89a9c54dbcdc0e784ea8f99ef46b3f64.nii.gz;Area-hOc3v_pmap_r_N10_nlin2Stdcolin27_5.2_public_4c20b044274ed18e909c2ae6d3a8c90c.nii.gz;Area-hOc3v_pmap_l_N10_nlin2ICBM152asym2009c_5.2_public_4432ef321845027faf6faa6aaf0a7a5d.nii.gz;Area-hOc3v_pmap_r_N10_nlin2ICBM152asym2009c_5.2_public_9295030ddfefcaa303440d42928350b7.nii.gz;1;1;1
Area-hOc4d;4.2;Area-hOc4d_pmap_l_N10_nlin2Stdcolin27_4.2_public_e91075b7ab8a96ac0404f79825a80fdf.nii.gz;Area-hOc4d_pmap_r_N10_nlin2Stdcolin27_4.2_public_e27098c9264065fd2957e121f5a8c73c.nii.gz;Area-hOc4d_pmap_l_N10_nlin2ICBM152asym2009c_4.2_public_68b52ae33ba9f8422f6efa7baa9afd1d.nii.gz;Area-hOc4d_pmap_r_N10_nlin2ICBM152asym2009c_4.2_public_bcfa1c395e4190cf0b69ec7bc9041d43.nii.gz;1;1;1
Area-hOc4la;5.2;Area-hOc4la_pmap_l_N10_nlin2Stdcolin27_5.2_public_18a0381fafec389ba28ccf3f388ee559.nii.gz;Area-hOc4la_pmap_r_N10_nlin2Stdcolin27_5.2_public_bc2b8551ae0405f8380a6250a278bb55.nii.gz;Area-hOc4la_pmap_l_N10_nlin2ICBM152asym2009c_5.2_public_51a19e3119b6027d645ae6c116844eee.nii.gz;Area-hOc4la_pmap_r_N10_nlin2ICBM152asym2009c_5.2_public_8b5844318ce59d65a56df50c70841bea.nii.gz;1;1;1
Area-hOc4lp;5.2;Area-hOc4lp_pmap_l_N10_nlin2Stdcolin27_5.2_public_0d556fd55978804e79e2b8e7adc22f0a.nii.gz;Area-hOc4lp_pmap_r_N10_nlin2Stdcolin27_5.2_public_a6cbed7398255aceeee383fbc13f40a8.nii.gz;Area-hOc4lp_pmap_l_N10_nlin2ICBM152asym2009c_5.2_public_7254624d8fe14f8f73ce6be06f916aff.nii.gz;Area-hOc4lp_pmap_r_N10_nlin2ICBM152asym2009c_5.2_public_af47b9d3fcc30d4e33e0c497b60b218a.nii.gz;1;1;1
Area-hOc4v;5.2;Area-hOc4v_pmap_l_N10_nlin2Stdcolin27_5.2_public_e8f71a38cf370bd547aa40e789997809.nii.gz;Area-hOc4v_pmap_r_N10_nlin2Stdcolin27_5.2_public_89509f1467d326dff746efed579e07d6.nii.gz;Area-hOc4v_pmap_l_N10_nlin2ICBM152asym2009c_5.2_public_ff2be9cdf1a544b4581e0e72e5123e91.nii.gz;Area-hOc4v_pmap_r_N10_nlin2ICBM152asym2009c_5.2_public_f3c4207c3a41a0c1403445eec41aa7fe.nii.gz;1;1;1
Area-hOc5;4.2;Area-hOc5_pmap_l_N10_nlin2Stdcolin27_4.2_public_a378532a118c5e628ded11e83362c062.nii.gz;Area-hOc5_pmap_r_N10_nlin2Stdcolin27_4.2_public_10476c3a637efc2a4b035efae20fe992.nii.gz;Area-hOc5_pmap_l_N10_nlin2ICBM152asym2009c_4.2_public_700aabd311306edacddfe42f0751c645.nii.gz;Area-hOc5_pmap_r_N10_nlin2ICBM152asym2009c_4.2_public_d41e035ad94c83febc2fc4addbeefd23.nii.gz;1;1;1
Area-hOc6;7.3;Area-hOc6_pmap_l_N10_nlin2Stdcolin27_7.3_public_f8e7514f9173380f644d84e7a8b4673a.nii.gz;Area-hOc6_pmap_r_N10_nlin2Stdcolin27_7.3_public_05e018263c0f1a4feb8fd35950273e87.nii.gz;Area-hOc6_pmap_l_N10_nlin2ICBM152asym2009c_7.3_public_0fedd60515cc00de653d26067082da37.nii.gz;Area-hOc6_pmap_r_N10_nlin2ICBM152asym2009c_7.3_public_c5246423a6642921fdfd001562fc6182.nii.gz;1;1;1
Area-hPO1;7.3;Area-hPO1_pmap_l_N10_nlin2Stdcolin27_7.3_public_154cefbeb094a1573e99f0409ac5da74.nii.gz;Area-hPO1_pmap_r_N10_nlin2Stdcolin27_7.3_public_56672dc5c107d60723e3cb94e307bcdd.nii.gz;Area-hPO1_pmap_l_N10_nlin2ICBM152asym2009c_7.3_public_c0700ce574a757b58c4ac4087e1fc36c.nii.gz;Area-hPO1_pmap_r_N10_nlin2ICBM152asym2009c_7.3_public_39156c24ec47d85086725ba0ab5f16ef.nii.gz;1;1;1
Area-p24ab.p24a;20.1;Area-p24ab.p24a_pmap_l_N10_nlin2Stdcolin27_20.1_publicP_bbc32233fb0ca6932b2e3e62748a77af.nii.gz;Area-p24ab.p24a_pmap_r_N10_nlin2Stdcolin27_20.1_publicP_322034494134e901dc8b6424f089e064.nii.gz;Area-p24ab.p24a_pmap_l_N10_nlin2ICBM152asym2009c_20.1_publicP_1731694044b8a5a399a04b34c305523c.nii.gz;Area-p24ab.p24a_pmap_r_N10_nlin2ICBM152asym2009c_20.1_publicP_a054de1cbc2a5945e861ee3346ed80eb.nii.gz;0;1;0
Area-p24ab.p24b;20.1;Area-p24ab.p24b_pmap_l_N10_nlin2Stdcolin27_20.1_publicP_196add3cdabe5c6010790c31e6d0db24.nii.gz;Area-p24ab.p24b_pmap_r_N10_nlin2Stdcolin27_20.1_publicP_001aeae3e6f6693f282f613b581642d2.nii.gz;Area-p24ab.p24b_pmap_l_N10_nlin2ICBM152asym2009c_20.1_publicP_3e2bdc882e98185f2bed4755bd2c79c8.nii.gz;Area-p24ab.p24b_pmap_r_N10_nlin2ICBM152asym2009c_20.1_publicP_601dd407e392d1b22bdc06029d73f012.nii.gz;0;1;0
Area-p24ab;20.1;Area-p24ab_pmap_l_N10_nlin2Stdcolin27_20.1_public_00a118aca35b53a32cb68d50ad3271ab.nii.gz;Area-p24ab_pmap_r_N10_nlin2Stdcolin27_20.1_public_d22a39e6b1c0f2a0c11dd0f37b88c4d3.nii.gz;Area-p24ab_pmap_l_N10_nlin2ICBM152asym2009c_20.1_public_69197251453e70d78d5e9e78890e8062.nii.gz;Area-p24ab_pmap_r_N10_nlin2ICBM152asym2009c_20.1_public_af678e2da3a108219e7e11db2f64317e.nii.gz;1;0;1
Area-p24c.pd24cd;20.1;Area-p24c.pd24cd_pmap_l_N10_nlin2Stdcolin27_20.1_publicP_42a84e3d87670dd839320f7b5144e098.nii.gz;Area-p24c.pd24cd_pmap_r_N10_nlin2Stdcolin27_20.1_publicP_4a7abe57ceeeba8e679dcee4df563aef.nii.gz;Area-p24c.pd24cd_pmap_l_N10_nlin2ICBM152asym2009c_20.1_publicP_2ffd58855507d4efbeac0f251e5ce319.nii.gz;Area-p24c.pd24cd_pmap_r_N10_nlin2ICBM152asym2009c_20.1_publicP_29a5510975649b840098cc30eae92b49.nii.gz;0;1;0
Area-p24c.pd24cv;20.1;Area-p24c.pd24cv_pmap_l_N10_nlin2Stdcolin27_20.1_publicP_457c3ddf27ab06595c60472bf2cd3d9e.nii.gz;Area-p24c.pd24cv_pmap_r_N10_nlin2Stdcolin27_20.1_publicP_14126346e9eacec70e62253c58151219.nii.gz;Area-p24c.pd24cv_pmap_l_N10_nlin2ICBM152asym2009c_20.1_publicP_f22eaafd34c9f401c8301fefa0e8d511.nii.gz;Area-p24c.pd24cv_pmap_r_N10_nlin2ICBM152asym2009c_20.1_publicP_4ababf3b52ae22f4825abe1390e51e1f.nii.gz;0;1;0
Area-p24c.pv24c;20.1;Area-p24c.pv24c_pmap_l_N10_nlin2Stdcolin27_20.1_publicP_150fc2975486a42e44ca3796da06c0a0.nii.gz;Area-p24c.pv24c_pmap_r_N10_nlin2Stdcolin27_20.1_publicP_1d83bb07990c1f773b3c33d6f97c10a2.nii.gz;Area-p24c.pv24c_pmap_l_N10_nlin2ICBM152asym2009c_20.1_publicP_d67dc93ad0f8a86b9ab4891f559d62ca.nii.gz;Area-p24c.pv24c_pmap_r_N10_nlin2ICBM152asym2009c_20.1_publicP_6e8ea7038ff674a204c5b132c483d7e3.nii.gz;0;1;0
Area-p24c;20.1;Area-p24c_pmap_l_N10_nlin2Stdcolin27_20.1_public_16528dc4f5a7fc87b93c8c27ae675bb4.nii.gz;Area-p24c_pmap_r_N10_nlin2Stdcolin27_20.1_public_a06a7f1e39cc594c8e3bc228ff2d3a3b.nii.gz;Area-p24c_pmap_l_N10_nlin2ICBM152asym2009c_20.1_public_c7486fad9a485a852066c562cc8256ed.nii.gz;Area-p24c_pmap_r_N10_nlin2ICBM152asym2009c_20.1_public_8e63e236efcd60ecbfb9077c3f3a5e06.nii.gz;1;0;1
Area-p32;20.1;Area-p32_pmap_l_N10_nlin2Stdcolin27_20.1_public_bed882ee377f0cb7614e90fd152d02ea.nii.gz;Area-p32_pmap_r_N10_nlin2Stdcolin27_20.1_public_b8e78064d88981503f0ab68f1c1a5d66.nii.gz;Area-p32_pmap_l_N10_nlin2ICBM152asym2009c_20.1_public_2e8dfaf1f571aa64895083ff323c9959.nii.gz;Area-p32_pmap_r_N10_nlin2ICBM152asym2009c_20.1_public_7f5442d689f427e09851ac4a43a937ac.nii.gz;1;1;1
Area-s24.s24a;20.1;Area-s24.s24a_pmap_l_N10_nlin2Stdcolin27_20.1_publicP_fd943a3b7fa5a24e6edd6a94d78b84fb.nii.gz;Area-s24.s24a_pmap_r_N10_nlin2Stdcolin27_20.1_publicP_5de97799c2ac239fcd9465555fac17a2.nii.gz;Area-s24.s24a_pmap_l_N10_nlin2ICBM152asym2009c_20.1_publicP_90346967ab41632db7960eac4c125ef4.nii.gz;Area-s24.s24a_pmap_r_N10_nlin2ICBM152asym2009c_20.1_publicP_59d9f8f590c7173188ab3ae31ab5d060.nii.gz;0;1;0
Area-s24.s24b;20.1;Area-s24.s24b_pmap_l_N10_nlin2Stdcolin27_20.1_publicP_ab82dd21d2db85276c59b9f4efea6ce2.nii.gz;Area-s24.s24b_pmap_r_N10_nlin2Stdcolin27_20.1_publicP_550f187db366f23361c4035f036208d3.nii.gz;Area-s24.s24b_pmap_l_N10_nlin2ICBM152asym2009c_20.1_publicP_285a18de7c6dc0d39ae797d0389946ec.nii.gz;Area-s24.s24b_pmap_r_N10_nlin2ICBM152asym2009c_20.1_publicP_b1b16e0d54c138be054f014ff56917b4.nii.gz;0;1;0
Area-s24;20.1;Area-s24_pmap_l_N10_nlin2Stdcolin27_20.1_public_82949f5bec0601007179d3d0fe68ae39.nii.gz;Area-s24_pmap_r_N10_nlin2Stdcolin27_20.1_public_1cd8e14641763c604f168416c5883e62.nii.gz;Area-s24_pmap_l_N10_nlin2ICBM152asym2009c_20.1_public_4d138b1fb73e5cc8c99c5462c3bae6b7.nii.gz;Area-s24_pmap_r_N10_nlin2ICBM152asym2009c_20.1_public_41331b6c45be1ddf4c0ecaf7b1e5babd.nii.gz;1;0;1
Area-s32;20.1;Area-s32_pmap_l_N10_nlin2Stdcolin27_20.1_public_f141b66c310b4996581d1252649fe250.nii.gz;Area-s32_pmap_r_N10_nlin2Stdcolin27_20.1_public_06271811aa3f5b71b1908089c8fcdd9a.nii.gz;Area-s32_pmap_l_N10_nlin2ICBM152asym2009c_20.1_public_1203a47d1d187d28ad781f2d76f95647.nii.gz;Area-s32_pmap_r_N10_nlin2ICBM152asym2009c_20.1_public_8532a67155f10d953d41d1640d589486.nii.gz;1;1;1
BST;6.1;BST_pmap_l_N10_nlin2Stdcolin27_6.1_public_ad0a2604d082e614072fdbe0086f1d24.nii.gz;BST_pmap_r_N10_nlin2Stdcolin27_6.1_public_4f33034bb3d9db0abdb644d626de2751.nii.gz;BST_pmap_l_N10_nlin2ICBM152asym2009c_6.1_public_8dd956e87944fbdcc2049d83d81de3ab.nii.gz;BST_pmap_r_N10_nlin2ICBM152asym2009c_6.1_public_342d0854179eca80e9e0435aa768a327.nii.gz;1;1;0
CA1;13.2;CA1_pmap_l_N10_nlin2Stdcolin27_13.2_public_2dc6e36aa5e1422363c92ef0f2e039f1.nii.gz;CA1_pmap_r_N10_nlin2Stdcolin27_13.2_public_484e092f3482797f3a3c8c94f37466c3.nii.gz;CA1_pmap_l_N10_nlin2ICBM152asym2009c_13.2_public_6d6a3612b914c9dfff16ce6b72de7dc6.nii.gz;CA1_pmap_r_N10_nlin2ICBM152asym2009c_13.2_public_e56d2271651174e4194f57cf3a0f7db4.nii.gz;1;1;1
CA2;13.2;CA2_pmap_l_N10_nlin2Stdcolin27_13.2_public_b674f83ff6cb3d0bc622c621ba723f40.nii.gz;CA2_pmap_r_N10_nlin2Stdcolin27_13.2_public_6719e25798892ca8cf22bb2890646403.nii.gz;CA2_pmap_l_N10_nlin2ICBM152asym2009c_13.2_public_aa7133f6e5096f64d625aa3d71fb8740.nii.gz;CA2_pmap_r_N10_nlin2ICBM152asym2009c_13.2_public_8e44ae5f6fce725d17a1092d1d59f3ec.nii.gz;1;1;0
CA3;13.2;CA3_pmap_l_N10_nlin2Stdcolin27_13.2_public_a4f4365cb55fd94ce7200411a723b4fd.nii.gz;CA3_pmap_r_N10_nlin2Stdcolin27_13.2_public_f55323d52cac86f70c70c3af63552746.nii.gz;CA3_pmap_l_N10_nlin2ICBM152asym2009c_13.2_public_2a4aa7005a5f68ac3356639366a4ff3c.nii.gz;CA3_pmap_r_N10_nlin2ICBM152asym2009c_13.2_public_c37cfe22cf8f4622d5bcb352a9f06a10.nii.gz;1;1;0
CGL;10.0;CGL_pmap_l_N10_nlin2Stdcolin27_10.0_public_88cf5b9bf8cb35e33a37122eadb64099.nii.gz;CGL_pmap_r_N10_nlin2Stdcolin27_10.0_public_555c33f4511047f02f65f266e3c1ab5d.nii.gz;CGL_pmap_l_N10_nlin2ICBM152asym2009c_10.0_public_5958c3f5255df1271eaa5a8672e39510.nii.gz;CGL_pmap_r_N10_nlin2ICBM152asym2009c_10.0_public_9e0ae8ecf6394abed7ac3a6c980777bf.nii.gz;1;1;1
CGM;10.0;CGM_pmap_l_N10_nlin2Stdcolin27_10.0_public_aa4856685cde8d23c75e6333bd8bcfa2.nii.gz;CGM_pmap_r_N10_nlin2Stdcolin27_10.0_public_f0aa2e8515da3abe4937f52a60122383.nii.gz;CGM_pmap_l_N10_nlin2ICBM152asym2009c_10.0_public_530f787f17e873656adc9949d0d8549f.nii.gz;CGM_pmap_r_N10_nlin2ICBM152asym2009c_10.0_public_4cc6a48e020eb612d87d84c90e0761cc.nii.gz;1;1;1
CM.AAA;8.2;CM.AAA_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_79801c2e10c5ccdb3b1e445a06f0342b.nii.gz;CM.AAA_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_e2883d8c5e2afd692815df56e4d6f503.nii.gz;CM.AAA_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_241c5bba098ea10729dd169739bd2549.nii.gz;CM.AAA_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_7525356bb0d3c7b92b57ec1b53e33a57.nii.gz;0;1;0
CM.Ce;8.2;CM.Ce_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_01adab8b80c0cd54dcc0ceed938517de.nii.gz;CM.Ce_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_dd7826a0b17404090c2c5f2a0df15dac.nii.gz;CM.Ce_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_3007699b165f55af7b80ce35edc53140.nii.gz;CM.Ce_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_a47f78dfe778c8e57c5d1508c9a8507f.nii.gz;0;1;0
CM.Me;8.2;CM.Me_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_a778fc7f8651bfae67a358221ba269af.nii.gz;CM.Me_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_78da0bebbba7cda724fe1f3381e5d7ad.nii.gz;CM.Me_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_97926813e210f5fac6f64a0619163be0.nii.gz;CM.Me_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_a3415b56f0943b98528c6e4d5dbaabe8.nii.gz;0;1;0
CM;8.2;CM_pmap_l_N10_nlin2Stdcolin27_8.2_public_e0dab98e9022f056f78ba4e41c272e5b.nii.gz;CM_pmap_r_N10_nlin2Stdcolin27_8.2_public_2821fbf78e0a49b2fcd8f28298bc5fa1.nii.gz;CM_pmap_l_N10_nlin2ICBM152asym2009c_8.2_public_5f8693b2bb6b8e86192a4c8c1b0f3de4.nii.gz;CM_pmap_r_N10_nlin2ICBM152asym2009c_8.2_public_adcfe27aba16370a84b076f30e814cea.nii.gz;1;0;0
Ch-123;4.3;Ch-123_pmap_l_N10_nlin2Stdcolin27_4.3_public_a4e41485b3e9c89350d1fcd6914d567e.nii.gz;Ch-123_pmap_r_N10_nlin2Stdcolin27_4.3_public_7a6ddcc313ecc2c4542f35fae437b1e3.nii.gz;Ch-123_pmap_l_N10_nlin2ICBM152asym2009c_4.3_public_168e34a2cd0d49df2fba93e42cf2fe21.nii.gz;Ch-123_pmap_r_N10_nlin2ICBM152asym2009c_4.3_public_a7b6bde1103bf4b9433fbabdf6f52782.nii.gz;1;1;0
Ch-4;4.3;Ch-4_pmap_l_N10_nlin2Stdcolin27_4.3_public_9eb942fe0694f7a25b34bca8cbd89a00.nii.gz;Ch-4_pmap_r_N10_nlin2Stdcolin27_4.3_public_cd209a3342172b5bb70b19aa5307cb9a.nii.gz;Ch-4_pmap_l_N10_nlin2ICBM152asym2009c_4.3_public_f39cf20c67befc68c70fe6226d00be88.nii.gz;Ch-4_pmap_r_N10_nlin2ICBM152asym2009c_4.3_public_86d192b1a1c3156fb8c9558d90c962e9.nii.gz;1;1;0
DG;13.2;DG_pmap_l_N10_nlin2Stdcolin27_13.2_public_66b908507dfffed2d3b0412d33f2f349.nii.gz;DG_pmap_r_N10_nlin2Stdcolin27_13.2_public_4caa945fb4cf9e05fc43732f770387ca.nii.gz;DG_pmap_l_N10_nlin2ICBM152asym2009c_13.2_public_b3b0246d708be3b1b9d80f5d9b31568f.nii.gz;DG_pmap_r_N10_nlin2ICBM152asym2009c_13.2_public_1434aa9a0c37d71785d214dd411e5780.nii.gz;1;1;0
Dorsal-Dentate-Nucleus;6.3;Dorsal-Dentate-Nucleus_pmap_l_N10_nlin2Stdcolin27_6.3_public_1c91a3a7826d48c3b105c903512fe26f.nii.gz;Dorsal-Dentate-Nucleus_pmap_r_N10_nlin2Stdcolin27_6.3_public_98d0908fd38de72f91287f1e4c834f5d.nii.gz;Dorsal-Dentate-Nucleus_pmap_l_N10_nlin2ICBM152asym2009c_6.3_public_9f6aef476b28c90b959764611e32d875.nii.gz;Dorsal-Dentate-Nucleus_pmap_r_N10_nlin2ICBM152asym2009c_6.3_public_dd3b540681341aef7377b650d6154f5c.nii.gz;1;1;0
Entorhinal-Cortex;13.2;Entorhinal-Cortex_pmap_l_N10_nlin2Stdcolin27_13.2_public_6f175ac256953b7f3a52ba555afd747e.nii.gz;Entorhinal-Cortex_pmap_r_N10_nlin2Stdcolin27_13.2_public_99a0f5a5e5caea70de32b16260afcc74.nii.gz;Entorhinal-Cortex_pmap_l_N10_nlin2ICBM152asym2009c_13.2_public_fd6543b3ede5e0ed47a6877fa1abbc15.nii.gz;Entorhinal-Cortex_pmap_r_N10_nlin2ICBM152asym2009c_13.2_public_f004407609d32e2b0934270e11401fb1.nii.gz;1;1;1
Fastigial-Nucleus;6.3;Fastigial-Nucleus_pmap_l_N10_nlin2Stdcolin27_6.3_public_3c098fe0a66935266328de3d6b21a79d.nii.gz;Fastigial-Nucleus_pmap_r_N10_nlin2Stdcolin27_6.3_public_ef4e4de7575d641bf79fdff1a48b6212.nii.gz;Fastigial-Nucleus_pmap_l_N10_nlin2ICBM152asym2009c_6.3_public_a9d43766a9f342bfecd14dd5f4afb0ee.nii.gz;Fastigial-Nucleus_pmap_r_N10_nlin2ICBM152asym2009c_6.3_public_6b8cee86b7cfffa2e2a76a248f7bdad9.nii.gz;1;1;0
Frontal-I;11.4;Frontal-I_pmap_l_N10_nlin2Stdcolin27_11.4_public_a7cc632a8d736bd5eb0d4b0d3a5476e4.nii.gz;Frontal-I_pmap_r_N10_nlin2Stdcolin27_11.4_public_0a7a2600009b10d50e9d8f30ac5329b7.nii.gz;Frontal-I_pmap_l_N10_nlin2ICBM152asym2009c_11.4_public_08e7bd4e3e289650147712076775218d.nii.gz;Frontal-I_pmap_r_N10_nlin2ICBM152asym2009c_11.4_public_47a6d1cf681f3b5f628d7d0dbe156d12.nii.gz;1;1;1
Frontal-II;11.4;Frontal-II_pmap_l_N10_nlin2Stdcolin27_11.4_public_1e9bf5fa07fa67620188f9dfe939ffd1.nii.gz;Frontal-II_pmap_r_N10_nlin2Stdcolin27_11.4_public_8152206ff97937c992d1ac00cd947717.nii.gz;Frontal-II_pmap_l_N10_nlin2ICBM152asym2009c_11.4_public_f2f8fd7a522d00c1d1ca94dacf91d9c6.nii.gz;Frontal-II_pmap_r_N10_nlin2ICBM152asym2009c_11.4_public_8cb3deb7da02e777765f44b772e835b9.nii.gz;1;1;1
Frontal-to-Occipital;11.4;Frontal-to-Occipital_pmap_l_N10_nlin2Stdcolin27_11.4_public_34b7790135adbb57b6abaf443c7434fb.nii.gz;Frontal-to-Occipital_pmap_r_N10_nlin2Stdcolin27_11.4_public_8b8081abca20ea2c9f79290f28c1adf5.nii.gz;Frontal-to-Occipital_pmap_l_N10_nlin2ICBM152asym2009c_11.4_public_1f8127e3db1a5a9a3e10a23477c35871.nii.gz;Frontal-to-Occipital_pmap_r_N10_nlin2ICBM152asym2009c_11.4_public_d82a0bc747fc159c1f05e4ecb8623708.nii.gz;1;1;1
Frontal-to-Temporal-I;11.4;Frontal-to-Temporal-I_pmap_l_N10_nlin2Stdcolin27_11.4_public_10035a3aec586eb83ea6e9b85a4b8fd8.nii.gz;Frontal-to-Temporal-I_pmap_r_N10_nlin2Stdcolin27_11.4_public_f88e012f6ad4471098eb50c9790cbd6c.nii.gz;Frontal-to-Temporal-I_pmap_l_N10_nlin2ICBM152asym2009c_11.4_public_176d607343a1bcd77a9891082acc1e28.nii.gz;Frontal-to-Temporal-I_pmap_r_N10_nlin2ICBM152asym2009c_11.4_public_8f01e351134ee9002c56ba47580f7825.nii.gz;1;1;1
Frontal-to-Temporal-II;11.4;Frontal-to-Temporal-II_pmap_l_N10_nlin2Stdcolin27_11.4_public_2fde8bd234f1e0fd474f3f7207b39481.nii.gz;Frontal-to-Temporal-II_pmap_r_N10_nlin2Stdcolin27_11.4_public_63b7540d93439aade7771a3943e5947b.nii.gz;Frontal-to-Temporal-II_pmap_l_N10_nlin2ICBM152asym2009c_11.4_public_83e1502f86c92573da216b5e3a819795.nii.gz;Frontal-to-Temporal-II_pmap_r_N10_nlin2ICBM152asym2009c_11.4_public_840b902a62b54d1e483bbd3cefbf8845.nii.gz;1;1;0
FuCd;5.0;FuCd_pmap_l_N10_nlin2Stdcolin27_5.0_public_782d31df358f57d9fe76a5cda49f617e.nii.gz;FuCd_pmap_r_N10_nlin2Stdcolin27_5.0_public_8fe115a20a53b21d405a9a5255059f85.nii.gz;FuCd_pmap_l_N10_nlin2ICBM152asym2009c_5.0_public_6f8ae41fdbfb59626cca8f7b7d0defeb.nii.gz;FuCd_pmap_r_N10_nlin2ICBM152asym2009c_5.0_public_75bc296fb0875d64576fb808cc952f92.nii.gz;1;1;0
FuP;5.0;FuP_pmap_l_N10_nlin2Stdcolin27_5.0_public_aed3b255aa06c71dc329766be82998be.nii.gz;FuP_pmap_r_N10_nlin2Stdcolin27_5.0_public_b24d3cb8a2798423ea54fded2f87f053.nii.gz;FuP_pmap_l_N10_nlin2ICBM152asym2009c_5.0_public_a9ef9f2b3835bb66a4bc5bb8f40a8d9a.nii.gz;FuP_pmap_r_N10_nlin2ICBM152asym2009c_5.0_public_1258f3b3f9b92995bafe29e0d082a053.nii.gz;1;1;0
HATA;13.2;HATA_pmap_l_N10_nlin2Stdcolin27_13.2_public_f45ea9d1275d61eeec0ada69f05bab62.nii.gz;HATA_pmap_r_N10_nlin2Stdcolin27_13.2_public_8f2e32d3454236391124e6695721e214.nii.gz;HATA_pmap_l_N10_nlin2ICBM152asym2009c_13.2_public_b9814c2f6f695ae3140bd7133913a043.nii.gz;HATA_pmap_r_N10_nlin2ICBM152asym2009c_13.2_public_bedf3bdb9e0362c421582652ac231631.nii.gz;1;1;1
HC-Transsubiculum;13.2;HC-Transsubiculum_pmap_l_N10_nlin2Stdcolin27_13.2_public_97ffe2e3d8928341ca69ddfd07e93cda.nii.gz;HC-Transsubiculum_pmap_r_N10_nlin2Stdcolin27_13.2_public_563d42c9f737d269ff8f91e9f1510c89.nii.gz;HC-Transsubiculum_pmap_l_N10_nlin2ICBM152asym2009c_13.2_public_3755ce8641cf01810f6bb411e79bbd90.nii.gz;HC-Transsubiculum_pmap_r_N10_nlin2ICBM152asym2009c_13.2_public_628eb716d34351ebb26a41178fac5d5b.nii.gz;1;1;1
IF.ice;8.2;IF.ice_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_6777b1725f08bd6ec9155b450a2a83a6.nii.gz;IF.ice_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_4ac4c75d037254988913341ed5c23975.nii.gz;IF.ice_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_e215ceeef1c88c693957a1e48c11dbcb.nii.gz;IF.ice_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_eb4147a56e41bbd0d29d66c892c7dab8.nii.gz;0;1;0
IF.iol;8.2;IF.iol_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_2be8d042f061f038c0cc712dc086d1fc.nii.gz;IF.iol_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_8decf081493ee3ab3a98d199efdd4078.nii.gz;IF.iol_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_655d4bdef80e3da88bb41ed926da471d.nii.gz;IF.iol_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_d5572272c198a65b9278642fa96c211b.nii.gz;0;1;0
IF.ld;8.2;IF.ld_pmap_l_N10_nlin2Stdcolin27_8.2_publicP_5e1ea01a40100e46a30201a156d965c7.nii.gz;IF.ld_pmap_r_N10_nlin2Stdcolin27_8.2_publicP_a6cc32b153d27fd12715ebb10386f237.nii.gz;IF.ld_pmap_l_N10_nlin2ICBM152asym2009c_8.2_publicP_da353b5a4e969605f9544b3296e68e79.nii.gz;IF.ld_pmap_r_N10_nlin2ICBM152asym2009c_8.2_publicP_d313d5733662f285fb37df1622c5ae2c.nii.gz;0;1;0
IF;8.2;IF_pmap_l_N10_nlin2Stdcolin27_8.2_public_f34f06c4ee1c4660c812bee88a8b40db.nii.gz;IF_pmap_r_N10_nlin2Stdcolin27_8.2_public_97927f69a5d5887c60ea2cc27e54971f.nii.gz;IF_pmap_l_N10_nlin2ICBM152asym2009c_8.2_public_d3f6b70c0d7ebcd58b5e42f598e0a121.nii.gz;IF_pmap_r_N10_nlin2ICBM152asym2009c_8.2_public_584c1ad19540bedfa614f39ac3a2196c.nii.gz;1;0;0
